Chave (000404) encontrada na árvore. Tempo de busca: 0.000003116 segundos. Interaçoes: 403
Chave (000108) encontrada na árvore. Tempo de busca: 0.000000470 segundos. Interaçoes: 107
Chave (000233) encontrada na árvore. Tempo de busca: 0.000001012 segundos. Interaçoes: 232
Chave (000268) encontrada na árvore. Tempo de busca: 0.000001182 segundos. Interaçoes: 267
Chave (000466) encontrada na árvore. Tempo de busca: 0.000002003 segundos. Interaçoes: 465
Chave (000746) encontrada na árvore. Tempo de busca: 0.000003426 segundos. Interaçoes: 745
Chave (000703) encontrada na árvore. Tempo de busca: 0.000003417 segundos. Interaçoes: 702
Chave (000559) encontrada na árvore. Tempo de busca: 0.000002695 segundos. Interaçoes: 558
Chave (000800) encontrada na árvore. Tempo de busca: 0.000004028 segundos. Interaçoes: 799
Chave (000982) encontrada na árvore. Tempo de busca: 0.000004508 segundos. Interaçoes: 981
Chave (000297) encontrada na árvore. Tempo de busca: 0.000002184 segundos. Interaçoes: 296
Chave (000616) encontrada na árvore. Tempo de busca: 0.000002715 segundos. Interaçoes: 615
Chave (000961) encontrada na árvore. Tempo de busca: 0.000004087 segundos. Interaçoes: 960
Chave (000207) encontrada na árvore. Tempo de busca: 0.000000812 segundos. Interaçoes: 206
Chave (000865) encontrada na árvore. Tempo de busca: 0.000003617 segundos. Interaçoes: 864
Chave (016603) não encontrada na arvore. Tempo de busca: 0.000004419 segundos. Interaçoes: 1000
Chave (006942) não encontrada na arvore. Tempo de busca: 0.000004068 segundos. Interaçoes: 1000
Chave (011658) não encontrada na arvore. Tempo de busca: 0.000004439 segundos. Interaçoes: 1000
Chave (010428) não encontrada na arvore. Tempo de busca: 0.000004548 segundos. Interaçoes: 1000
Chave (001738) não encontrada na arvore. Tempo de busca: 0.000004539 segundos. Interaçoes: 1000
Chave (009080) não encontrada na arvore. Tempo de busca: 0.000004589 segundos. Interaçoes: 1000
Chave (017735) não encontrada na arvore. Tempo de busca: 0.000004739 segundos. Interaçoes: 1000
Chave (004472) não encontrada na arvore. Tempo de busca: 0.000004768 segundos. Interaçoes: 1000
Chave (001104) não encontrada na arvore. Tempo de busca: 0.000004759 segundos. Interaçoes: 1000
Chave (012833) não encontrada na arvore. Tempo de busca: 0.000004769 segundos. Interaçoes: 1000
Chave (002812) não encontrada na arvore. Tempo de busca: 0.000004729 segundos. Interaçoes: 1000
Chave (017391) não encontrada na arvore. Tempo de busca: 0.000004709 segundos. Interaçoes: 1000
Chave (014602) não encontrada na arvore. Tempo de busca: 0.000004749 segundos. Interaçoes: 1000
Chave (005070) não encontrada na arvore. Tempo de busca: 0.000004999 segundos. Interaçoes: 1000
Chave (005325) não encontrada na arvore. Tempo de busca: 0.000005079 segundos. Interaçoes: 1000
