Chave (000038) encontrada na árvore. Tempo de busca: 0.000000130 segundos. Interações: 7
Chave (000053) encontrada na árvore. Tempo de busca: 0.000000080 segundos. Interações: 7
Chave (000033) encontrada na árvore. Tempo de busca: 0.000000060 segundos. Interações: 8
Chave (000084) encontrada na árvore. Tempo de busca: 0.000000020 segundos. Interações: 1
Chave (000071) encontrada na árvore. Tempo de busca: 0.000000060 segundos. Interações: 5
Chave (000083) encontrada na árvore. Tempo de busca: 0.000000060 segundos. Interações: 8
Chave (000022) encontrada na árvore. Tempo de busca: 0.000000050 segundos. Interações: 4
Chave (000059) encontrada na árvore. Tempo de busca: 0.000000070 segundos. Interações: 5
Chave (000031) encontrada na árvore. Tempo de busca: 0.000000060 segundos. Interações: 9
Chave (000054) encontrada na árvore. Tempo de busca: 0.000000050 segundos. Interações: 6
Chave (000047) encontrada na árvore. Tempo de busca: 0.000000060 segundos. Interações: 6
Chave (000033) encontrada na árvore. Tempo de busca: 0.000000060 segundos. Interações: 8
Chave (000045) encontrada na árvore. Tempo de busca: 0.000000100 segundos. Interações: 9
Chave (000042) encontrada na árvore. Tempo de busca: 0.000000090 segundos. Interações: 10
Chave (000072) encontrada na árvore. Tempo de busca: 0.000000040 segundos. Interações: 4
Chave (014524) não encontrada na árvore. Tempo de busca: 0.000000140 segundos. Interações: 10
Chave (012223) não encontrada na árvore. Tempo de busca: 0.000000060 segundos. Interações: 10
Chave (002103) não encontrada na árvore. Tempo de busca: 0.000000050 segundos. Interações: 10
Chave (001028) não encontrada na árvore. Tempo de busca: 0.000000040 segundos. Interações: 10
Chave (010002) não encontrada na árvore. Tempo de busca: 0.000000050 segundos. Interações: 10
Chave (003209) não encontrada na árvore. Tempo de busca: 0.000000040 segundos. Interações: 10
Chave (016743) não encontrada na árvore. Tempo de busca: 0.000000060 segundos. Interações: 10
Chave (002011) não encontrada na árvore. Tempo de busca: 0.000000060 segundos. Interações: 10
Chave (017497) não encontrada na árvore. Tempo de busca: 0.000000040 segundos. Interações: 10
Chave (012112) não encontrada na árvore. Tempo de busca: 0.000000040 segundos. Interações: 10
Chave (002436) não encontrada na árvore. Tempo de busca: 0.000000040 segundos. Interações: 10
Chave (014860) não encontrada na árvore. Tempo de busca: 0.000000050 segundos. Interações: 10
Chave (013747) não encontrada na árvore. Tempo de busca: 0.000000051 segundos. Interações: 10
Chave (010852) não encontrada na árvore. Tempo de busca: 0.000000040 segundos. Interações: 10
Chave (004458) não encontrada na árvore. Tempo de busca: 0.000000050 segundos. Interações: 10
