Chave: [000149] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000030 segundos. INTERACOES: 3
Chave: [000016] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000090 segundos. INTERACOES: 61
Chave: [000018] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000080 segundos. INTERACOES: 44
Chave: [000242] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000131 segundos. INTERACOES: 95
Chave: [000116] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000070 segundos. INTERACOES: 42
Chave: [000127] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000110 segundos. INTERACOES: 74
Chave: [000018] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000080 segundos. INTERACOES: 44
Chave: [000013] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000101 segundos. INTERACOES: 68
Chave: [000329] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000060 segundos. INTERACOES: 29
Chave: [000114] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000061 segundos. INTERACOES: 27
Chave: [000425] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000090 segundos. INTERACOES: 58
Chave: [000403] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000090 segundos. INTERACOES: 57
Chave: [000076] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000060 segundos. INTERACOES: 28
Chave: [000387] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000111 segundos. INTERACOES: 69
Chave: [000016] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000100 segundos. INTERACOES: 61
Chave: [008373] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000001543 segundos. INTERACOES: 100
Chave: [008471] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000170 segundos. INTERACOES: 100
Chave: [009113] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000140 segundos. INTERACOES: 100
Chave: [000778] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000130 segundos. INTERACOES: 100
Chave: [003196] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000130 segundos. INTERACOES: 100
Chave: [002486] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000131 segundos. INTERACOES: 100
Chave: [007400] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000140 segundos. INTERACOES: 100
Chave: [007049] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000130 segundos. INTERACOES: 100
Chave: [007221] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000130 segundos. INTERACOES: 100
Chave: [006839] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000141 segundos. INTERACOES: 100
Chave: [005022] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000140 segundos. INTERACOES: 100
Chave: [002233] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000130 segundos. INTERACOES: 100
Chave: [005250] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000130 segundos. INTERACOES: 100
Chave: [008529] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000141 segundos. INTERACOES: 100
Chave: [009850] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000140 segundos. INTERACOES: 100
