Chave: [000173] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000211 segundos. INTERACOES: 173
Chave: [000303] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000340 segundos. INTERACOES: 303
Chave: [000354] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000001032 segundos. INTERACOES: 354
Chave: [000032] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000100 segundos. INTERACOES: 32
Chave: [000359] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000801 segundos. INTERACOES: 359
Chave: [000003] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000030 segundos. INTERACOES: 3
Chave: [000002] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000030 segundos. INTERACOES: 2
Chave: [000272] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000310 segundos. INTERACOES: 272
Chave: [000180] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000220 segundos. INTERACOES: 180
Chave: [000329] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000371 segundos. INTERACOES: 329
Chave: [000479] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000521 segundos. INTERACOES: 479
Chave: [000114] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000160 segundos. INTERACOES: 114
Chave: [000425] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000460 segundos. INTERACOES: 425
Chave: [000480] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000521 segundos. INTERACOES: 480
Chave: [000356] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000401 segundos. INTERACOES: 356
Chave: [002489] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000001934 segundos. INTERACOES: 500
Chave: [002729] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000752 segundos. INTERACOES: 500
Chave: [005177] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000571 segundos. INTERACOES: 500
Chave: [000794] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000551 segundos. INTERACOES: 500
Chave: [006479] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000581 segundos. INTERACOES: 500
Chave: [000825] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000551 segundos. INTERACOES: 500
Chave: [003112] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000562 segundos. INTERACOES: 500
Chave: [007832] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000561 segundos. INTERACOES: 500
Chave: [002789] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000561 segundos. INTERACOES: 500
Chave: [001908] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000561 segundos. INTERACOES: 500
Chave: [000617] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000561 segundos. INTERACOES: 500
Chave: [004842] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000561 segundos. INTERACOES: 500
Chave: [004556] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000551 segundos. INTERACOES: 500
Chave: [003733] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000551 segundos. INTERACOES: 500
Chave: [004815] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000561 segundos. INTERACOES: 500
