Chave (007829) encontrada na árvore. Tempo de busca: 0.000000000 segundos. Interações: 6
Chave (006127) encontrada na árvore. Tempo de busca: 0.000000000 segundos. Interações: 4
Chave (001073) encontrada na árvore. Tempo de busca: 0.000000000 segundos. Interações: 5
Chave (001073) encontrada na árvore. Tempo de busca: 0.000000000 segundos. Interações: 5
Chave (001073) encontrada na árvore. Tempo de busca: 0.000000000 segundos. Interações: 5
Chave (002384) encontrada na árvore. Tempo de busca: 0.000000000 segundos. Interações: 6
Chave (007829) encontrada na árvore. Tempo de busca: 0.000000000 segundos. Interações: 6
Chave (007829) encontrada na árvore. Tempo de busca: 0.000000000 segundos. Interações: 6
Chave (007829) encontrada na árvore. Tempo de busca: 0.000000000 segundos. Interações: 6
Chave (002384) encontrada na árvore. Tempo de busca: 0.000000000 segundos. Interações: 6
Chave (002384) encontrada na árvore. Tempo de busca: 0.000000000 segundos. Interações: 6
Chave (002384) encontrada na árvore. Tempo de busca: 0.000000000 segundos. Interações: 6
Chave (006127) encontrada na árvore. Tempo de busca: 0.000000000 segundos. Interações: 4
Chave (001073) encontrada na árvore. Tempo de busca: 0.000000000 segundos. Interações: 5
Chave (001073) encontrada na árvore. Tempo de busca: 0.000000000 segundos. Interações: 5
Chave (001550) não encontrada na árvore. Tempo de busca: 0.000000000 segundos. Interações: 7
Chave (003792) não encontrada na árvore. Tempo de busca: 0.000000000 segundos. Interações: 7
Chave (010781) não encontrada na árvore. Tempo de busca: 0.000000000 segundos. Interações: 7
Chave (015884) não encontrada na árvore. Tempo de busca: 0.000000000 segundos. Interações: 7
Chave (015403) não encontrada na árvore. Tempo de busca: 0.000000000 segundos. Interações: 7
Chave (000243) não encontrada na árvore. Tempo de busca: 0.000000000 segundos. Interações: 6
Chave (015036) não encontrada na árvore. Tempo de busca: 0.000000000 segundos. Interações: 7
Chave (006131) não encontrada na árvore. Tempo de busca: 0.000000000 segundos. Interações: 7
Chave (018126) não encontrada na árvore. Tempo de busca: 0.000000000 segundos. Interações: 7
Chave (013130) não encontrada na árvore. Tempo de busca: 0.000000000 segundos. Interações: 7
Chave (003805) não encontrada na árvore. Tempo de busca: 0.000000000 segundos. Interações: 7
Chave (000218) não encontrada na árvore. Tempo de busca: 0.000000000 segundos. Interações: 6
Chave (010004) não encontrada na árvore. Tempo de busca: 0.000000000 segundos. Interações: 7
Chave (004805) não encontrada na árvore. Tempo de busca: 0.000000000 segundos. Interações: 7
Chave (008465) não encontrada na árvore. Tempo de busca: 0.000000000 segundos. Interações: 7
