Chave (006127) encontrada na árvore. Tempo de busca: 0.000000000 segundos. Interações: 2
Chave (001073) encontrada na árvore. Tempo de busca: 0.000000000 segundos. Interações: 3
Chave (002384) encontrada na árvore. Tempo de busca: 0.000000000 segundos. Interações: 4
Chave (001073) encontrada na árvore. Tempo de busca: 0.000000000 segundos. Interações: 3
Chave (002384) encontrada na árvore. Tempo de busca: 0.000000000 segundos. Interações: 4
Chave (001073) encontrada na árvore. Tempo de busca: 0.000000000 segundos. Interações: 3
Chave (002384) encontrada na árvore. Tempo de busca: 0.000000000 segundos. Interações: 4
Chave (002384) encontrada na árvore. Tempo de busca: 0.000000000 segundos. Interações: 4
Chave (002384) encontrada na árvore. Tempo de busca: 0.000000000 segundos. Interações: 4
Chave (001073) encontrada na árvore. Tempo de busca: 0.000000000 segundos. Interações: 3
Chave (007829) encontrada na árvore. Tempo de busca: 0.000000000 segundos. Interações: 8
Chave (002384) encontrada na árvore. Tempo de busca: 0.000000000 segundos. Interações: 4
Chave (001073) encontrada na árvore. Tempo de busca: 0.000000000 segundos. Interações: 3
Chave (006127) encontrada na árvore. Tempo de busca: 0.000000000 segundos. Interações: 2
Chave (006127) encontrada na árvore. Tempo de busca: 0.000000000 segundos. Interações: 2
Chave (008536) não encontrada na árvore. Tempo de busca: 0.000000000 segundos. Interações: 9
Chave (003636) não encontrada na árvore. Tempo de busca: 0.000000000 segundos. Interações: 5
Chave (003737) não encontrada na árvore. Tempo de busca: 0.000000000 segundos. Interações: 5
Chave (009554) não encontrada na árvore. Tempo de busca: 0.000000000 segundos. Interações: 9
Chave (001021) não encontrada na árvore. Tempo de busca: 0.000000000 segundos. Interações: 4
Chave (019493) não encontrada na árvore. Tempo de busca: 0.000000000 segundos. Interações: 8
Chave (004640) não encontrada na árvore. Tempo de busca: 0.000000000 segundos. Interações: 5
Chave (001259) não encontrada na árvore. Tempo de busca: 0.000000000 segundos. Interações: 5
Chave (003145) não encontrada na árvore. Tempo de busca: 0.000000000 segundos. Interações: 5
Chave (003809) não encontrada na árvore. Tempo de busca: 0.000000000 segundos. Interações: 5
Chave (004753) não encontrada na árvore. Tempo de busca: 0.000000000 segundos. Interações: 5
Chave (005034) não encontrada na árvore. Tempo de busca: 0.000000000 segundos. Interações: 5
Chave (012081) não encontrada na árvore. Tempo de busca: 0.000000000 segundos. Interações: 9
Chave (010707) não encontrada na árvore. Tempo de busca: 0.000000000 segundos. Interações: 9
Chave (009271) não encontrada na árvore. Tempo de busca: 0.000000000 segundos. Interações: 9
